Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,28.379999,28.379999,28.379999,28.379999,26.994331,0
2019-01-15,28.580000,28.580000,28.580000,28.580000,27.184566,0
2019-01-16,28.650000,28.650000,28.650000,28.650000,27.251146,0
2019-01-17,28.910000,28.910000,28.910000,28.910000,27.498451,0
2019-01-18,29.350000,29.350000,29.350000,29.350000,27.916971,0
2019-01-22,28.940001,28.940001,28.940001,28.940001,27.526989,0
2019-01-23,28.930000,28.930000,28.930000,28.930000,27.517477,0
2019-01-24,29.090000,29.090000,29.090000,29.090000,27.669664,0
2019-01-25,29.400000,29.400000,29.400000,29.400000,27.964529,0
2019-01-28,29.270000,29.270000,29.270000,29.270000,27.840876,0
2019-01-29,29.309999,29.309999,29.309999,29.309999,27.878922,0
2019-01-30,29.629999,29.629999,29.629999,29.629999,28.183298,0
2019-01-31,29.830000,29.830000,29.830000,29.830000,28.373533,0
2019-02-01,29.910000,29.910000,29.910000,29.910000,28.449629,0
2019-02-04,30.070000,30.070000,30.070000,30.070000,28.601816,0
2019-02-05,30.190001,30.190001,30.190001,30.190001,28.715956,0
2019-02-06,30.160000,30.160000,30.160000,30.160000,28.687420,0
2019-02-07,29.940001,29.940001,29.940001,29.940001,28.478163,0
2019-02-08,29.990000,29.990000,29.990000,29.990000,28.525721,0
2019-02-11,30.080000,30.080000,30.080000,30.080000,28.611326,0
2019-02-12,30.450001,30.450001,30.450001,30.450001,28.963263,0
2019-02-13,30.580000,30.580000,30.580000,30.580000,29.086916,0
2019-02-14,30.510000,30.510000,30.510000,30.510000,29.020330,0
2019-02-15,30.850000,30.850000,30.850000,30.850000,29.343731,0
2019-02-19,30.910000,30.910000,30.910000,30.910000,29.400801,0
2019-02-20,31.010000,31.010000,31.010000,31.010000,29.495918,0
2019-02-21,30.889999,30.889999,30.889999,30.889999,29.381777,0
2019-02-22,31.070000,31.070000,31.070000,31.070000,29.552990,0
2019-02-25,31.070000,31.070000,31.070000,31.070000,29.552990,0
2019-02-26,30.990000,30.990000,30.990000,30.990000,29.476894,0
2019-02-27,30.990000,30.990000,30.990000,30.990000,29.476894,0
2019-02-28,30.920000,30.920000,30.920000,30.920000,29.410313,0
2019-03-01,31.129999,31.129999,31.129999,31.129999,29.610060,0
2019-03-04,30.980000,30.980000,30.980000,30.980000,29.467384,0
2019-03-05,30.889999,30.889999,30.889999,30.889999,29.381777,0
2019-03-06,30.610001,30.610001,30.610001,30.610001,29.115450,0
2019-03-07,30.379999,30.379999,30.379999,30.379999,28.896679,0
2019-03-08,30.290001,30.290001,30.290001,30.290001,28.811075,0
2019-03-11,30.680000,30.680000,30.680000,30.680000,29.182034,0
2019-03-12,30.770000,30.770000,30.770000,30.770000,29.267639,0
2019-03-13,30.959999,30.959999,30.959999,30.959999,29.448360,0
2019-03-14,30.920000,30.920000,30.920000,30.920000,29.410313,0
2019-03-15,31.030001,31.030001,31.030001,31.030001,29.514944,0
2019-03-18,31.170000,31.170000,31.170000,31.170000,29.648108,0
2019-03-19,31.100000,31.100000,31.100000,31.100000,29.581526,0
2019-03-20,30.910000,30.910000,30.910000,30.910000,29.400801,0
2019-03-21,31.299999,31.299999,31.299999,31.299999,29.771759,0
2019-03-22,30.660000,30.660000,30.660000,30.660000,29.163008,0
2019-03-25,30.670000,30.670000,30.670000,30.670000,29.172520,0
2019-03-26,30.930000,30.930000,30.930000,30.930000,29.419827,0
2019-03-27,30.830000,30.830000,30.830000,30.830000,29.324707,0
2019-03-28,31.000000,31.000000,31.000000,31.000000,29.486408,0
2019-03-29,31.200001,31.200001,31.200001,31.200001,29.676643,0
2019-04-01,31.580000,31.580000,31.580000,31.580000,30.038088,0
2019-04-02,31.559999,31.559999,31.559999,31.559999,30.019064,0
2019-04-03,31.650000,31.650000,31.650000,31.650000,30.104670,0
2019-04-04,31.750000,31.750000,31.750000,31.750000,30.199787,0
2019-04-05,31.959999,31.959999,31.959999,31.959999,30.399534,0
2019-04-08,31.980000,31.980000,31.980000,31.980000,30.418558,0
2019-04-09,31.709999,31.709999,31.709999,31.709999,30.161741,0
2019-04-10,31.889999,31.889999,31.889999,31.889999,30.332952,0
2019-04-11,31.920000,31.920000,31.920000,31.920000,30.361490,0
2019-04-12,32.189999,32.189999,32.189999,32.189999,30.618303,0
2019-04-15,32.110001,32.110001,32.110001,32.110001,30.542213,0
2019-04-16,32.099998,32.099998,32.099998,32.099998,30.532698,0
2019-04-17,31.930000,31.930000,31.930000,31.930000,30.371000,0
2019-04-18,31.990000,31.990000,31.990000,31.990000,30.428070,0
2019-04-22,31.910000,31.910000,31.910000,31.910000,30.351976,0
2019-04-23,32.209999,32.209999,32.209999,32.209999,30.637329,0
2019-04-24,32.200001,32.200001,32.200001,32.200001,30.627817,0
2019-04-25,32.020000,32.020000,32.020000,32.020000,30.456608,0
